,整数位,小数位,LAMBDA
64,1,74228894032291 ,0.25771106
65,-8,138570062333 ,-8.001385701
66,-3,17816185072764 ,-3.178161851
67,-8,138570062333 ,-8.001385701
68,-5,78078291712403 ,-5.780782917
69,-5,12286349286061 ,-5.122863493
70,-4,24071145487907 ,-4.240711455
71,-5,13103577409843 ,-5.131035774
72,0,991591300881341 ,-9.915913009
73,-8,138570062333 ,-8.001385701
74,-1,73264401971593 ,-1.73264402
75,0,793628685049406 ,-7.93628685
76,-3,5620212147131 ,-3.056202121
77,-3,20984072102524 ,-3.209840721
78,0,573323488240788 ,-5.733234882
79,-4,45281442040246 ,-4.45281442
80,-3,49854876280285 ,-3.498548763
81,-4,75019045024872 ,-4.75019045
82,-5,78218259739644 ,-5.782182597
83,-5,1150293319447 ,-5.011502933
84,-5,77858459617027 ,-5.778584596
85,-3,84846284711541 ,-3.848462847
86,-5,77449759860058 ,-5.774497599
87,-5,12684636355764 ,-5.126846364
88,-1,35676194462454 ,-1.356761945
89,0,492039828045848 ,-4.92039828
90,-4,24638209420523 ,-4.246382094
91,-3,5286211025076 ,-3.05286211
92,-5,77651223271126 ,-5.776512233
93,-5,11382245434154 ,-5.113822454
94,-4,5732878513787 ,-4.057328785
95,-5,77984822747984 ,-5.779848227
96,-5,77488300682353 ,-5.774883007
97,-3,3568826352777 ,-3.035688264
98,-5,78218259739644 ,-5.782182597
99,-5,12684636355764 ,-5.126846364
100,-5,77606069227735 ,-5.776060692
101,-5,117963633947 ,-5.001179636
102,-5,78497181594147 ,-5.784971816
103,-5,12684636355764 ,-5.126846364
104,-3,51226562285897 ,-3.512265623
105,-3,31817575014366 ,-3.31817575
106,-8,138570062333 ,-8.001385701
107,-1,17875457328069 ,-1.178754573
108,-5,78218259739644 ,-5.782182597
109,-4,74294946861949 ,-4.742949469
110,-8,138570062333 ,-8.001385701
111,-5,12824742677934 ,-5.128247427
112,-5,77704984809614 ,-5.777049848
113,0,531268462400187 ,-5.312684624
114,-8,138570062333 ,-8.001385701
115,-5,12380225951934 ,-5.12380226
116,-5,77914645564572 ,-5.779146456
117,-5,78218259739644 ,-5.782182597
118,-8,138570062333 ,-8.001385701
119,-3,65672838519126 ,-3.656728385
120,-8,13857006226358 ,-8.138570062
121,-2,10472746920191 ,-2.104727469
122,-4,22848465662559 ,-4.228484657
123,-8,138570062333 ,-8.001385701
124,-8,138570062333 ,-8.001385701
125,-8,138570062333 ,-8.001385701
126,-4,74741442265643 ,-4.747414423
127,-4,75019045024103 ,-4.75019045
128,-8,138570062333 ,-8.001385701
129,-2,10406089834951 ,-2.104060898
130,-5,77984822747984 ,-5.779848227
131,-4,22462803150963 ,-4.224628032
132,-3,35448078326503 ,-3.354480783
133,-3,76051327514711 ,-3.760513275
134,-5,78078291712403 ,-5.780782917
135,-1,52246938132733 ,-1.522469381
136,-8,138570062333 ,-8.001385701
137,-5,7791464556522 ,-5.077914646
138,-5,78218259739644 ,-5.782182597
139,-8,138570062333 ,-8.001385701
140,-5,78078291712403 ,-5.780782917
141,-8,138570062333 ,-8.001385701
142,-5,78497181594147 ,-5.784971816
143,-5,77517257413978 ,-5.775172574
144,-8,138570062333 ,-8.001385701
145,-5,78497181594147 ,-5.784971816
146,-5,12544339874314 ,-5.125443399
147,-5,78497184790878 ,-5.784971848
148,-8,138570062333 ,-8.001385701
149,-5,78218259739235 ,-5.782182597
150,-2,7722426748339 ,-2.077224267
151,-5,78497181594147 ,-5.784971816
152,-8,138570062333 ,-8.001385701
153,-5,13103577409843 ,-5.131035774
154,-8,138570062333 ,-8.001385701
155,-4,73182777664654 ,-4.731827777
156,-4,24994701412871 ,-4.249947014
157,-4,18964686746868 ,-4.189646867
158,-5,12417508478388 ,-5.124175085
159,-3,76619111893653 ,-3.766191119
160,-4,21850667003789 ,-4.21850667
161,-5,78218259739644 ,-5.782182597
162,-4,45118475099959 ,-4.451184751
163,0,451747696892178 ,-4.517476969
164,-8,138570062333 ,-8.001385701
165,-8,138570062333 ,-8.001385701
166,-5,77984822747984 ,-5.779848227
167,-5,77449759860058 ,-5.774497599
168,-8,138570062333 ,-8.001385701
169,-2,80053978650482 ,-2.800539787
170,-1,73862891813646 ,-1.738628918
171,-5,77771430857677 ,-5.777714309
172,-5,77984822747984 ,-5.779848227
173,-8,138570062333 ,-8.001385701
174,-8,138570062333 ,-8.001385701
175,-5,11092707987927 ,-5.11092708
176,-5,77704984809614 ,-5.777049848
177,-5,78078291712403 ,-5.780782917
178,-5,78078291712403 ,-5.780782917
179,-3,24821441168839 ,-3.248214412
180,-2,80143693423403 ,-2.801436934
181,-5,77984822747573 ,-5.779848227
182,-5,77585936284209 ,-5.775859363
183,-3,16531168508833 ,-3.165311685
184,-5,13381660121863 ,-5.133816601
185,-8,1385700623322 ,-8.013857006
186,-8,138570062333 ,-8.001385701
187,-2,91001302022823 ,-2.91001302
188,-5,11593929494905 ,-5.115939295
189,-4,4186818723502 ,-4.041868187
190,0,332546651861786 ,-3.325466519
191,-5,77341318114914 ,-5.773413181
192,-3,90673523015716 ,-3.90673523
193,-4,46198454384532 ,-4.461984544
194,-5,12453186651447 ,-5.124531867
195,-4,3899362799426 ,-4.038993628
196,-5,78218259739644 ,-5.782182597
197,-3,21282084948982 ,-3.212820849
198,-5,77914645564572 ,-5.779146456
199,-8,138570062333 ,-8.001385701
200,-2,6338362075822 ,-2.063383621
201,-5,76620150043372 ,-5.7662015
202,-4,72327015899245 ,-4.723270159
203,-8,138570062333 ,-8.001385701
204,0,890950511963331 ,-8.90950512
205,-8,138570062333 ,-8.001385701
206,-8,13855429780412 ,-8.138554298
207,-5,77914645564572 ,-5.779146456
208,-3,34567405993304 ,-3.34567406
209,-5,7798482289936 ,-5.077984823
210,-5,77474862311027 ,-5.774748623
211,-5,77984822747984 ,-5.779848227
212,-5,78078291712403 ,-5.780782917
213,-8,1385700621553 ,-8.013857006
214,-3,25369960548542 ,-3.253699605
215,-1,70627707667891 ,-1.706277077
216,-5,78218259739644 ,-5.782182597
217,-3,4278543871434 ,-3.042785439
218,-5,78218259739644 ,-5.782182597
219,-3,74967692105638 ,-3.749676921
220,-3,90282704370797 ,-3.902827044
221,-8,138570062333 ,-8.001385701
222,-8,138570062333 ,-8.001385701
223,-8,138570062333 ,-8.001385701
224,-3,74983519629872 ,-3.749835196
225,-4,72988140190535 ,-4.729881402
226,-5,12450611914473 ,-5.124506119
227,-5,13103577409843 ,-5.131035774
228,-5,10578978680937 ,-5.105789787
229,-5,78078291712403 ,-5.780782917
230,-4,5502373258439 ,-4.055023733
231,-8,138570062333 ,-8.001385701
232,-8,138570062333 ,-8.001385701
233,-4,453464436167 ,-4.004534644
234,-5,78218259739644 ,-5.782182597
235,-5,77019590208539 ,-5.770195902
236,-4,7354026145833 ,-4.073540261
237,0,346447602032586 ,-3.46447602
238,-3,21708173170325 ,-3.217081732
239,-8,13857006233208 ,-8.138570062
240,-8,138570062333 ,-8.001385701
241,-2,2130118328056 ,-2.021301183
242,-8,13857006233307 ,-8.138570062
243,-8,138570062333 ,-8.001385701
244,-5,77349630100592 ,-5.773496301
245,-8,138570062333 ,-8.001385701
246,-5,77676827995591 ,-5.77676828
247,-8,138570062333 ,-8.001385701
248,-8,138570062333 ,-8.001385701
249,-4,42031053818812 ,-4.420310538
250,-1,1325524845744 ,-1.013255248
251,-5,12684636355763 ,-5.126846364
252,-5,77914645564572 ,-5.779146456
253,-8,138570062333 ,-8.001385701
254,-5,78078291712403 ,-5.780782917
255,-5,77585936284209 ,-5.775859363
256,-3,44581910984921 ,-3.44581911
257,-8,138570062333 ,-8.001385701
258,-5,77704984809614 ,-5.777049848
259,-4,44975886112221 ,-4.449758861
260,-5,77704984809614 ,-5.777049848
261,-5,12870501397431 ,-5.128705014
262,-1,40107327473317 ,-1.401073275
263,-5,78218259739644 ,-5.782182597
264,-5,77651223270475 ,-5.776512233
265,-4,43743855140113 ,-4.437438551
266,-8,138570062333 ,-8.001385701
267,-2,29228373380857 ,-2.292283734
268,-5,78078291712403 ,-5.780782917
269,-5,12684636355764 ,-5.126846364
270,-2,1769980806083 ,-2.017699808
271,-8,138570062333 ,-8.001385701
272,-5,77811609000153 ,-5.77811609
273,-8,13857006215465 ,-8.138570062
274,-5,78497181594147 ,-5.784971816
275,-8,138570062333 ,-8.001385701
276,-3,31053636424658 ,-3.310536364
277,-4,2318423850573 ,-4.023184239
278,-5,13381660121863 ,-5.133816601
279,-5,78218259739644 ,-5.782182597
280,-4,74741441134619 ,-4.747414411
281,0,875997601066371 ,-8.759976011
282,-4,73808696562868 ,-4.738086966
283,-5,12323866271246 ,-5.123238663
284,-5,77811609000153 ,-5.77811609
285,-8,138570062333 ,-8.001385701
286,-4,20386956327593 ,-4.203869563
287,-8,138570062333 ,-8.001385701
288,-2,55650977873402 ,-2.556509779
289,-1,31285793698195 ,-1.312857937
290,-8,138570062333 ,-8.001385701
291,-5,77858459617027 ,-5.778584596
292,-5,77858459617027 ,-5.778584596
293,-1,80376280824545 ,-1.803762808
294,-8,138570062333 ,-8.001385701
295,-5,13381660121863 ,-5.133816601
296,-8,138570062333 ,-8.001385701
297,-3,56713009233309 ,-3.567130092
298,-3,56809973270841 ,-3.568099733
